"","D1","D2","fear_mean","disgust_mean","approach_mean"
"Sp_236",-0.4583802954929,-0.232946604864402,44.5121951219512,53.5853658536585,42.609756097561
"Sp_237",0.703436838801467,0.497096813691359,37.4473684210526,40.5,33.7105263157895
"Sp_238",-0.658852290750061,-0.310584519450904,21,28.0789473684211,22.9210526315789
"Sp_239",-0.643678894145007,-0.23437535425975,26.9117647058824,30.1176470588235,24.1764705882353
"Sp_240",-0.629065533154267,-0.328881218575565,31.1315789473684,32.7631578947368,33.0789473684211
"Sp_241",-0.76464299346513,-0.457403683108684,20.8205128205128,23.3846153846154,17.2564102564103
"Sp_242",-0.856540168581977,-0.188041045163857,24.3548387096774,29.5806451612903,21.5161290322581
"Sp_243",-0.710389150338576,-0.0891145516660282,58.4523809523809,72.0476190476191,51.9047619047619
"Sp_244",-0.436637987094143,-0.154944163070232,46.1363636363636,52.4242424242424,40.7272727272727
"Sp_245",-0.819990188006373,0.139811566575484,19.0357142857143,39.5357142857143,20.6785714285714
"Sp_246",-0.927658249461226,0.0866078063879408,50.0810810810811,57.6756756756757,47.2972972972973
"Sp_247",-0.687380787760665,0.258895356287034,15.5,22.047619047619,16.3095238095238
"Sp_248",0.757297780907885,0.349616948679417,71.6222222222222,73.2,52.1111111111111
"Sp_249",-0.559715484081192,-0.116053114819985,39.5483870967742,42.247311827957,36.010752688172
"Sp_250",-0.873149650684953,0.15751351871729,31.6136363636364,37.3409090909091,24.7045454545455
"Sp_251",-0.447987275800466,0.395477378784356,38.9428571428571,48.1238095238095,30.4
"Sp_252",-0.6924635116498,0.0711653563377375,58.9032258064516,68.5806451612903,53.6774193548387
"Sp_253",-0.868326155351754,-0.218814868998359,30.1707317073171,39.0731707317073,26.609756097561
"Sp_254",-0.431530987094368,-0.595946812174298,51.6052631578947,67.2368421052632,45.8421052631579
"Sp_255",-0.636014346732344,0.391269490311434,22.9642857142857,26.5357142857143,20.0714285714286
"Sp_256",-0.0860284061473659,-0.263190706923606,54.3095238095238,68.2619047619048,43.4285714285714
"Sp_257",-0.555271659410844,-0.51552262975618,56.90625,79.125,51.21875
"Sp_258",-0.254827174899507,0.0611408385550484,45.5,48.875,40.05
"Sp_259",0.61195490318307,-0.284052905604489,69.2222222222222,74.3111111111111,62.4
"Sp_260",0.193029916253217,-0.381817033729226,68.7173913043478,79.9130434782609,60.195652173913
"Sp_261",0.195692282536867,0.548100619982728,60.1518987341772,61.8987341772152,45.5316455696203
"Sp_262",-0.124463745024695,-0.562872716561107,56.8541666666667,64.5208333333333,48.3541666666667
